index,tweet_id,author_id,inbound,created_at,chat_conversation,response_tweet_id,in_response_to_tweet_id,sentiment_analysis,sentiment,sentiment_explanation
13,19,sprintcare,False,Tue Oct 31 22:10:10 +0000 2017,@115715 Please send me a private message so that I can send you the link to access your account. -FR,,20.0,"{
  ""Sentimento"": ""Neutro"",
  ""Explicação"": ""A mensagem do usuário é uma solicitação direta e objetiva, sem expressar emoções positivas ou negativas. O tom é formal e informativo, focando na necessidade de comunicação para resolver um problema específico.""
}",Neutro,"A mensagem do usuário é uma solicitação direta e objetiva, sem expressar emoções positivas ou negativas. O tom é formal e informativo, focando na necessidade de comunicação para resolver um problema específico."
14,20,115715,True,Tue Oct 31 22:03:34 +0000 2017,"@115714 whenever I contact customer support, they tell me I have shortcode enabled on my account, but I have never in the 4 years I've tried https://t.co/0G98RtNxPK",19,,"{
  ""Sentimento"": ""Negativo"",
  ""Explicação"": ""O usuário expressa frustração ao relatar que, apesar de contatar o suporte ao cliente várias vezes, não obteve uma solução para o problema mencionado. A frase 'mas eu nunca' indica insatisfação e descontentamento com o serviço, refletindo um sentimento negativo.""
}",Negativo,"O usuário expressa frustração ao relatar que, apesar de contatar o suporte ao cliente várias vezes, não obteve uma solução para o problema mencionado. A frase 'mas eu nunca' indica insatisfação e descontentamento com o serviço, refletindo um sentimento negativo."
15,21,Ask_Spectrum,False,Tue Oct 31 22:14:37 +0000 2017,@115716 What information is incorrect? ^JK,"22,23",24.0,"{
  ""Sentimento"": ""Negativo"",
  ""Explicação"": ""O usuário está questionando sobre informações incorretas, o que indica insatisfação ou descontentamento com a situação. A frase 'What information is incorrect?' sugere uma crítica ou um desafio, refletindo um tom negativo.""
}",Negativo,"O usuário está questionando sobre informações incorretas, o que indica insatisfação ou descontentamento com a situação. A frase 'What information is incorrect?' sugere uma crítica ou um desafio, refletindo um tom negativo."
16,22,115716,True,Tue Oct 31 22:16:48 +0000 2017,@Ask_Spectrum Would you like me to email you a copy of one since Spectrum is not updating your training?,25,21.0,"{
  ""Sentimento"": ""Negativo"",
  ""Explicação"": ""O usuário expressa frustração com a falta de atualização do treinamento por parte da Spectrum, sugerindo que a situação não está sendo tratada adequadamente. A frase 'since Spectrum is not updating your training' indica insatisfação com o serviço.""
}",Negativo,"O usuário expressa frustração com a falta de atualização do treinamento por parte da Spectrum, sugerindo que a situação não está sendo tratada adequadamente. A frase 'since Spectrum is not updating your training' indica insatisfação com o serviço."
17,25,Ask_Spectrum,False,Tue Oct 31 22:18:28 +0000 2017,"@115716 Our department is part of the corporate office.  If you're particular area has gone to this format, we were unawa... https://t.co/P7XCmTzPQj",26,22.0,"{
  ""Sentimento"": ""Neutro"",
  ""Explicação"": ""A mensagem do usuário é informativa e não expressa emoções positivas ou negativas. O foco está em fornecer uma explicação sobre a estrutura do departamento, sem indicar satisfação ou insatisfação. A frase 'If you're particular area has gone to this format' sugere uma descrição de um processo, sem juízo de valor.""
}",Neutro,"A mensagem do usuário é informativa e não expressa emoções positivas ou negativas. O foco está em fornecer uma explicação sobre a estrutura do departamento, sem indicar satisfação ou insatisfação. A frase 'If you're particular area has gone to this format' sugere uma descrição de um processo, sem juízo de valor."
18,26,115716,True,Tue Oct 31 22:19:56 +0000 2017,@Ask_Spectrum I received this from your corporate office would you like a copy?,27,25.0,"{
  ""Sentimento"": ""Neutro"",
  ""Explicação"": ""A mensagem do usuário é uma pergunta direta e informativa, sem expressar emoções positivas ou negativas. O usuário simplesmente oferece uma cópia de uma comunicação recebida, o que indica uma intenção de ajudar ou esclarecer, mas não carrega um tom emocional forte. O trecho que demonstra isso é: 'I received this from your corporate office would you like a copy?'.""
}",Neutro,"A mensagem do usuário é uma pergunta direta e informativa, sem expressar emoções positivas ou negativas. O usuário simplesmente oferece uma cópia de uma comunicação recebida, o que indica uma intenção de ajudar ou esclarecer, mas não carrega um tom emocional forte. O trecho que demonstra isso é: 'I received this from your corporate office would you like a copy?'."
19,27,Ask_Spectrum,False,Tue Oct 31 22:21:26 +0000 2017,@115716 No thank you. ^JK,,26.0,"{
  ""Sentimento"": ""Negativo"",
  ""Explicação"": ""O usuário expressou uma recusa clara ao dizer 'No thank you', o que indica desinteresse ou desaprovação em relação a algo que foi proposto. Essa resposta direta e negativa sugere um sentimento desfavorável.""
}",Negativo,"O usuário expressou uma recusa clara ao dizer 'No thank you', o que indica desinteresse ou desaprovação em relação a algo que foi proposto. Essa resposta direta e negativa sugere um sentimento desfavorável."
20,23,115716,True,Tue Oct 31 22:16:05 +0000 2017,@Ask_Spectrum The correct way to do it is via an OCS Account Takeover and email Consent Form it does not need to be done in a local office,,21.0,"{
  ""Sentimento"": ""Neutro"",
  ""Explicação"": ""A mensagem do usuário é informativa e direta, sem expressar emoções positivas ou negativas. O usuário está apenas esclarecendo um procedimento, como evidenciado pela frase: 'The correct way to do it is via an OCS Account Takeover and email Consent Form'.""
}",Neutro,"A mensagem do usuário é informativa e direta, sem expressar emoções positivas ou negativas. O usuário está apenas esclarecendo um procedimento, como evidenciado pela frase: 'The correct way to do it is via an OCS Account Takeover and email Consent Form'."
21,24,115716,True,Tue Oct 31 22:13:02 +0000 2017,@Ask_Spectrum That is INCORRECT information I have the form in front of me that is faxed over-maybe you need to maintain up to date information,21,28.0,"{
  ""Sentimento"": ""Negativo"",
  ""Explicação"": ""O usuário expressa frustração e descontentamento ao afirmar que a informação fornecida está incorreta e sugere que a outra parte deve atualizar suas informações. A escolha de palavras como 'INCORRECT' e a crítica implícita indicam um tom negativo.""
}",Negativo,O usuário expressa frustração e descontentamento ao afirmar que a informação fornecida está incorreta e sugere que a outra parte deve atualizar suas informações. A escolha de palavras como 'INCORRECT' e a crítica implícita indicam um tom negativo.
22,28,Ask_Spectrum,False,Tue Oct 31 22:05:37 +0000 2017,@115716 The information pertaining to the account assumption is correct.  This does need to be done at a local outlet wit... https://t.co/P7XCmTzPQj,24,29.0,"{
  ""Sentimento"": ""Neutro"",
  ""Explicação"": ""A mensagem do usuário é informativa e objetiva, sem expressar emoções ou opiniões positivas ou negativas. O trecho 'The information pertaining to the account assumption is correct' indica uma confirmação factual, o que caracteriza um tom neutro.""
}",Neutro,"A mensagem do usuário é informativa e objetiva, sem expressar emoções ou opiniões positivas ou negativas. O trecho 'The information pertaining to the account assumption is correct' indica uma confirmação factual, o que caracteriza um tom neutro."
23,29,115716,True,Tue Oct 31 22:01:35 +0000 2017,actually that's a broken link you sent me and incorrect information https://t.co/V4yfrHR8VI,28,,"{
  ""Sentimento"": ""Negativo"",
  ""Explicação"": ""O usuário expressa insatisfação ao afirmar que o link enviado está quebrado e que as informações estão incorretas, o que indica frustração. O uso da palavra 'broken' e 'incorrect' demonstra claramente um sentimento negativo em relação à situação.""
}",Negativo,"O usuário expressa insatisfação ao afirmar que o link enviado está quebrado e que as informações estão incorretas, o que indica frustração. O uso da palavra 'broken' e 'incorrect' demonstra claramente um sentimento negativo em relação à situação."
24,30,Ask_Spectrum,False,Tue Oct 31 22:12:09 +0000 2017,"@115717 Hello, My apologies for any frustrations or inconvenience. I’d be happy to look into this for you? ^MG",,31.0,"{
  ""Sentimento"": ""Neutro"",
  ""Explicação"": ""O usuário expressa um pedido de desculpas e oferece ajuda, mas não demonstra emoções fortes ou um sentimento positivo ou negativo. A frase 'I’d be happy to look into this for you?' sugere disposição, mas não é suficiente para classificar como positivo.""
}",Neutro,"O usuário expressa um pedido de desculpas e oferece ajuda, mas não demonstra emoções fortes ou um sentimento positivo ou negativo. A frase 'I’d be happy to look into this for you?' sugere disposição, mas não é suficiente para classificar como positivo."
25,31,115717,True,Tue Oct 31 22:06:54 +0000 2017,"Yo @Ask_Spectrum, your customer service reps are super nice— but imma start trippin if y’all don’t get my service going!",30,,"{
  ""Sentimento"": ""Negativo"",
  ""Explicação"": ""Embora o usuário comece com um elogio ao atendimento ao cliente, a frase 'imma start trippin if y’all don’t get my service going!' indica frustração e insatisfação com a falta de serviço, o que predomina no tom geral da mensagem.""
}",Negativo,"Embora o usuário comece com um elogio ao atendimento ao cliente, a frase 'imma start trippin if y’all don’t get my service going!' indica frustração e insatisfação com a falta de serviço, o que predomina no tom geral da mensagem."
26,32,Ask_Spectrum,False,Tue Oct 31 22:10:08 +0000 2017,@115718 I apologize for the inconvenience. I will be glad to assist you. Can you DM me your Name and acct # or phone #? -JB,,33.0,"{
  ""Sentimento"": ""Neutro"",
  ""Explicação"": ""O usuário expressa uma disposição para ajudar e pede informações adicionais, mas não demonstra emoções positivas ou negativas. A frase 'I will be glad to assist you' sugere uma intenção neutra de assistência, sem um tom emocional forte.""
}",Neutro,"O usuário expressa uma disposição para ajudar e pede informações adicionais, mas não demonstra emoções positivas ou negativas. A frase 'I will be glad to assist you' sugere uma intenção neutra de assistência, sem um tom emocional forte."
27,33,115718,True,Tue Oct 31 22:06:56 +0000 2017,My picture on @Ask_Spectrum pretty much every day. Why should I pay $171 per month? https://t.co/U6ptkQa5Ik,32,,"{
  ""Sentimento"": ""Negativo"",
  ""Explicação"": ""O usuário expressa insatisfação com o preço que está pagando pelo serviço, questionando o valor de $171 por mês. A frase 'Why should I pay $171 per month?' indica frustração e descontentamento com a situação.""
}",Negativo,"O usuário expressa insatisfação com o preço que está pagando pelo serviço, questionando o valor de $171 por mês. A frase 'Why should I pay $171 per month?' indica frustração e descontentamento com a situação."
28,34,VerizonSupport,False,Tue Oct 31 22:13:33 +0000 2017,"@115719 Help has arrived! We are sorry to see that you are having trouble. How can we help?
^HSB",35,36.0,"{
  ""Sentimento"": ""Neutro"",
  ""Explicação"": ""O usuário não expressou emoções claras ou opiniões sobre a situação. A mensagem é uma resposta direta e objetiva, sem indicar satisfação ou insatisfação. O tom é informativo e não carrega um sentimento forte.""
}",Neutro,"O usuário não expressou emoções claras ou opiniões sobre a situação. A mensagem é uma resposta direta e objetiva, sem indicar satisfação ou insatisfação. O tom é informativo e não carrega um sentimento forte."
29,35,115719,True,Tue Oct 31 22:49:16 +0000 2017,"@VerizonSupport I finally got someone that helped me, thanks!",37,34.0,"{
  ""Sentimento"": ""Positivo"",
  ""Explicação"": ""O usuário expressa satisfação ao afirmar que finalmente recebeu ajuda, utilizando a palavra 'thanks' que indica gratidão. Isso demonstra um sentimento positivo em relação ao atendimento recebido.""
}",Positivo,"O usuário expressa satisfação ao afirmar que finalmente recebeu ajuda, utilizando a palavra 'thanks' que indica gratidão. Isso demonstra um sentimento positivo em relação ao atendimento recebido."
30,37,VerizonSupport,False,Tue Oct 31 22:52:00 +0000 2017,"@115719 Awesome! If you ever need us we are just a tweet away.
^HSB",,35.0,"{
  ""Sentimento"": ""Positivo"",
  ""Explicação"": ""O usuário expressa uma atitude amigável e prestativa ao afirmar que está disponível para ajudar, o que indica um sentimento positivo. A frase 'Awesome! If you ever need us we are just a tweet away.' demonstra entusiasmo e disposição para interagir.""
}",Positivo,"O usuário expressa uma atitude amigável e prestativa ao afirmar que está disponível para ajudar, o que indica um sentimento positivo. A frase 'Awesome! If you ever need us we are just a tweet away.' demonstra entusiasmo e disposição para interagir."
31,36,115719,True,Tue Oct 31 22:10:46 +0000 2017,somebody from @VerizonSupport please help meeeeee 😩😩😩😩 I'm having the worst luck with your customer service,34,,"{
  ""Sentimento"": ""Negativo"",
  ""Explicação"": ""O usuário expressa frustração e descontentamento com o serviço de atendimento ao cliente da Verizon, utilizando emojis que indicam desespero e insatisfação. A frase 'I'm having the worst luck with your customer service' reforça a ideia de uma experiência negativa.""
}",Negativo,"O usuário expressa frustração e descontentamento com o serviço de atendimento ao cliente da Verizon, utilizando emojis que indicam desespero e insatisfação. A frase 'I'm having the worst luck with your customer service' reforça a ideia de uma experiência negativa."
32,38,VerizonSupport,False,Tue Oct 31 22:13:30 +0000 2017,"@115720 Have your friend message us.
^ACM",,39.0,"{
  ""Sentimento"": ""Neutro"",
  ""Explicação"": ""A mensagem do usuário é uma instrução simples e direta, sem expressar emoções ou sentimentos claros. A frase 'Have your friend message us' é objetiva e não carrega um tom positivo ou negativo.""
}",Neutro,"A mensagem do usuário é uma instrução simples e direta, sem expressar emoções ou sentimentos claros. A frase 'Have your friend message us' é objetiva e não carrega um tom positivo ou negativo."
33,39,115720,True,Tue Oct 31 22:12:16 +0000 2017,@VerizonSupport My friend is without internet we need to play videogames together please our skills diminish every moment without internetz,38,,"{
  ""Sentimento"": ""Negativo"",
  ""Explicação"": ""O usuário expressa frustração devido à falta de internet, o que impacta negativamente sua experiência de jogar videogame com um amigo. A frase 'nossos skills diminuem a cada momento sem internet' indica uma preocupação e insatisfação com a situação.""
}",Negativo,"O usuário expressa frustração devido à falta de internet, o que impacta negativamente sua experiência de jogar videogame com um amigo. A frase 'nossos skills diminuem a cada momento sem internet' indica uma preocupação e insatisfação com a situação."
34,40,VerizonSupport,False,Tue Oct 31 22:12:00 +0000 2017,"@115721 Please follow and DM us so that we can look into this order. 
^HSB",41,42.0,"{
  ""Sentimento"": ""Neutro"",
  ""Explicação"": ""A mensagem do usuário é uma solicitação direta para que a outra parte siga e envie uma mensagem direta, sem expressar emoções positivas ou negativas. O tom é funcional e objetivo, indicando uma necessidade de comunicação sem um sentimento subjacente evidente.""
}",Neutro,"A mensagem do usuário é uma solicitação direta para que a outra parte siga e envie uma mensagem direta, sem expressar emoções positivas ou negativas. O tom é funcional e objetivo, indicando uma necessidade de comunicação sem um sentimento subjacente evidente."
35,41,115721,True,Tue Oct 31 22:24:55 +0000 2017,@VerizonSupport What else can I provide? They refuse to help me because they cannot validate the account...,43,40.0,"{
  ""Sentimento"": ""Negativo"",
  ""Explicação"": ""O usuário expressa frustração e insatisfação com a falta de ajuda recebida, indicando que a situação é problemática. O trecho 'They refuse to help me because they cannot validate the account...' demonstra claramente um sentimento de descontentamento.""
}",Negativo,"O usuário expressa frustração e insatisfação com a falta de ajuda recebida, indicando que a situação é problemática. O trecho 'They refuse to help me because they cannot validate the account...' demonstra claramente um sentimento de descontentamento."
36,43,VerizonSupport,False,Tue Oct 31 22:29:00 +0000 2017,"@115721 We would not be able to verify anything without authenticating your account.
^JAY",44,41.0,"{
  ""Sentimento"": ""Neutro"",
  ""Explicação"": ""A mensagem do usuário é informativa e objetiva, sem expressar emoções positivas ou negativas. A frase 'We would not be able to verify anything without authenticating your account' é uma declaração factual sobre a necessidade de autenticação, sem conotações emocionais.""
}",Neutro,"A mensagem do usuário é informativa e objetiva, sem expressar emoções positivas ou negativas. A frase 'We would not be able to verify anything without authenticating your account' é uma declaração factual sobre a necessidade de autenticação, sem conotações emocionais."
37,44,115721,True,Tue Oct 31 22:32:06 +0000 2017,"@VerizonSupport How? I have my phone number and email, that's it. How did I get equipment and service? I'm literally trying to pay and nobody can find me?",45,43.0,"{
  ""Sentimento"": ""Negativo"",
  ""Explicação"": ""O usuário expressa frustração e confusão em relação ao seu serviço, indicando que está tendo dificuldades para pagar e que ninguém consegue encontrá-lo. A frase 'I'm literally trying to pay and nobody can find me?' demonstra claramente um sentimento de insatisfação e desespero.""
}",Negativo,"O usuário expressa frustração e confusão em relação ao seu serviço, indicando que está tendo dificuldades para pagar e que ninguém consegue encontrá-lo. A frase 'I'm literally trying to pay and nobody can find me?' demonstra claramente um sentimento de insatisfação e desespero."
38,45,VerizonSupport,False,Tue Oct 31 22:36:29 +0000 2017,"@115721 We can use the order number to locate the account but will need to do so in our secure one on one chat. Please follow and DM us. 
^HSB",,44.0,"{
  ""Sentimento"": ""Neutro"",
  ""Explicação"": ""O usuário não expressou emoções fortes ou opiniões pessoais, apenas forneceu instruções sobre como proceder com a localização da conta. A mensagem é informativa e direta, sem indícios de sentimentos positivos ou negativos.""
}",Neutro,"O usuário não expressou emoções fortes ou opiniões pessoais, apenas forneceu instruções sobre como proceder com a localização da conta. A mensagem é informativa e direta, sem indícios de sentimentos positivos ou negativos."
39,42,115721,True,Tue Oct 31 22:06:21 +0000 2017,@115722 MD. And this was sent to the wrong address https://t.co/dMQ1WZXJOk,40,46.0,"{
  ""Sentimento"": ""Negativo"",
  ""Explicação"": ""O usuário expressa insatisfação ao mencionar que algo foi enviado para o endereço errado, o que indica um problema ou erro. A frase 'And this was sent to the wrong address' demonstra claramente um sentimento negativo em relação à situação.""
}",Negativo,"O usuário expressa insatisfação ao mencionar que algo foi enviado para o endereço errado, o que indica um problema ou erro. A frase 'And this was sent to the wrong address' demonstra claramente um sentimento negativo em relação à situação."
40,46,115722,True,Tue Oct 31 22:04:29 +0000 2017,"@115721 Hello Duke, Do you have a copy of your bill? What state are your services located in?
^NHP",42,47.0,"{
  ""Sentimento"": ""Neutro"",
  ""Explicação"": ""O usuário está fazendo perguntas diretas e objetivas sobre a conta e a localização dos serviços, sem expressar emoções positivas ou negativas. A natureza informativa da mensagem sugere um tom neutro, como demonstrado na pergunta: 'Do you have a copy of your bill?'""
}",Neutro,"O usuário está fazendo perguntas diretas e objetivas sobre a conta e a localização dos serviços, sem expressar emoções positivas ou negativas. A natureza informativa da mensagem sugere um tom neutro, como demonstrado na pergunta: 'Do you have a copy of your bill?'"
41,47,115721,True,Tue Oct 31 22:01:42 +0000 2017,@115722 Nobody can find my account or number. I walked out of a store with this. I've explained that they can find my acct via my devices serial #..,46,48.0,"{
  ""Sentimento"": ""Negativo"",
  ""Explicação"": ""O usuário expressa frustração e preocupação ao mencionar que 'Nobody can find my account or number', indicando uma situação problemática e insatisfatória.""
}",Negativo,"O usuário expressa frustração e preocupação ao mencionar que 'Nobody can find my account or number', indicando uma situação problemática e insatisfatória."
42,48,115722,True,Tue Oct 31 21:49:31 +0000 2017,"@115721 Are you referring to wireless or residential service?
^JAY",47,49.0,"{
  ""Sentimento"": ""Neutro"",
  ""Explicação"": ""A mensagem do usuário é uma pergunta direta e objetiva, sem expressar emoções ou sentimentos claros. O tom é informativo e não sugere uma opinião positiva ou negativa sobre o assunto.""
}",Neutro,"A mensagem do usuário é uma pergunta direta e objetiva, sem expressar emoções ou sentimentos claros. O tom é informativo e não sugere uma opinião positiva ou negativa sobre o assunto."
43,49,115721,True,Tue Oct 31 21:42:09 +0000 2017,"@115722 tried to pay a bill for 60 days. No service, rude CS, and several transfers. Look up my equipment # and give me an acct #!",48,,"{
  ""Sentimento"": ""Negativo"",
  ""Explicação"": ""O usuário expressa frustração e insatisfação com o serviço, mencionando problemas como falta de serviço, atendimento ao cliente rude e dificuldades em resolver a situação. A frase 'No service, rude CS, and several transfers' demonstra claramente um sentimento negativo em relação à experiência.""
}",Negativo,"O usuário expressa frustração e insatisfação com o serviço, mencionando problemas como falta de serviço, atendimento ao cliente rude e dificuldades em resolver a situação. A frase 'No service, rude CS, and several transfers' demonstra claramente um sentimento negativo em relação à experiência."
44,50,VerizonSupport,False,Tue Oct 31 22:07:30 +0000 2017,"@115723 Is the light on top red?
^JAY",,51.0,"{
  ""Sentimento"": ""Neutro"",
  ""Explicação"": ""A mensagem do usuário é uma pergunta simples e objetiva sobre a cor de uma luz, sem expressar emoções ou sentimentos positivos ou negativos. O tom é informativo e direto.""
}",Neutro,"A mensagem do usuário é uma pergunta simples e objetiva sobre a cor de uma luz, sem expressar emoções ou sentimentos positivos ou negativos. O tom é informativo e direto."
45,51,115723,True,Tue Oct 31 22:04:57 +0000 2017,"@VerizonSupport Don’t know, router is downstairs. But it’s just the WiFi Nothing connected to Ethernet",50,52.0,"{
  ""Sentimento"": ""Negativo"",
  ""Explicação"": ""O usuário expressa frustração ao mencionar que o problema está relacionado ao WiFi e não à conexão Ethernet, indicando uma insatisfação com a situação. A frase 'Don’t know' sugere confusão ou descontentamento com a falta de clareza sobre o problema.""
}",Negativo,"O usuário expressa frustração ao mencionar que o problema está relacionado ao WiFi e não à conexão Ethernet, indicando uma insatisfação com a situação. A frase 'Don’t know' sugere confusão ou descontentamento com a falta de clareza sobre o problema."
